ProteinID	Length	Start	End	Domain	Tool
NP_001233871.1	272aa	294	565	Pkinase	Pfam_Scan
NP_001233877.1	268aa	348	615	Pkinase	Pfam_Scan
NP_001233883.1	267aa	372	638	Pkinase	Pfam_Scan
NP_001234580.2	255aa	340	594	Pkinase	Pfam_Scan
NP_001234626.1	271aa	293	563	Pkinase	Pfam_Scan
NP_001234869.1	269aa	578	846	PK_Tyr_Ser-Thr	Pfam_Scan
NP_001265974.1	199aa	849	1047	Pkinase	Pfam_Scan
NP_001274713.1	268aa	692	959	Pkinase	Pfam_Scan
NP_001296180.1	271aa	888	1158	Pkinase	Pfam_Scan
NP_001302425.1	244aa	334	577	Pkinase	Pfam_Scan
NP_001306257.1	283aa	345	627	Pkinase	Pfam_Scan
NP_001307979.1	270aa	346	615	Pkinase	Pfam_Scan
NP_001334606.1	269aa	410	678	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004228537.1	268aa	731	998	Pkinase	Pfam_Scan
XP_004228922.2	262aa	524	785	Pkinase	Pfam_Scan
XP_004229499.1	267aa	680	946	Pkinase	Pfam_Scan
XP_004229807.1	262aa	417	678	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004229897.1	270aa	519	788	Pkinase	Pfam_Scan
XP_004230068.1	269aa	484	752	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004230391.1	266aa	640	905	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004230392.1	264aa	639	902	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004230451.1	268aa	686	953	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004230660.1	283aa	669	951	Pkinase	Pfam_Scan
XP_004230741.1	295aa	467	761	Pkinase	Pfam_Scan
XP_004230827.1	274aa	589	862	Pkinase	Pfam_Scan
XP_004231550.1	249aa	439	687	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004231560.1	201aa	773	973	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004231674.1	267aa	806	1072	Pkinase	Pfam_Scan
XP_004231792.1	257aa	485	741	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004231868.1	252aa	392	643	Pkinase	Pfam_Scan
XP_004231881.1	294aa	457	750	Pkinase	Pfam_Scan
XP_004231961.1	212aa	687	898	Pkinase	Pfam_Scan
XP_004232089.1	241aa	389	629	Pkinase	Pfam_Scan
XP_004232118.1	267aa	308	574	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004232151.1	268aa	514	781	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004232252.1	213aa	305	517	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004232341.1	267aa	342	608	Pkinase	Pfam_Scan
XP_004232468.1	260aa	842	1101	Pkinase	Pfam_Scan
XP_004232684.1	273aa	419	691	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004232923.1	222aa	689	910	Pkinase	Pfam_Scan
XP_004233025.1	269aa	669	937	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004233046.1	172aa	410	581	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004233092.1	277aa	875	1151	Pkinase	Pfam_Scan
XP_004233157.1	223aa	783	1005	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004233342.1	255aa	317	571	Pkinase	Pfam_Scan
XP_004233867.2	277aa	871	1147	Pkinase	Pfam_Scan
XP_004233904.1	270aa	821	1090	Pkinase	Pfam_Scan
XP_004233917.1	259aa	486	744	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004234010.1	277aa	486	762	Pkinase	Pfam_Scan
XP_004234089.1	260aa	429	688	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004234101.1	223aa	684	906	Pkinase	Pfam_Scan
XP_004234153.1	236aa	654	889	Pkinase	Pfam_Scan
XP_004234249.1	266aa	919	1184	Pkinase	Pfam_Scan
XP_004234250.3	265aa	870	1134	Pkinase	Pfam_Scan
XP_004234442.1	268aa	999	1266	Pkinase	Pfam_Scan
XP_004234641.1	271aa	695	965	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004234843.1	286aa	337	622	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004234946.1	260aa	411	670	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004235118.1	265aa	846	1110	Pkinase	Pfam_Scan
XP_004235119.1	267aa	840	1106	Pkinase	Pfam_Scan
XP_004235172.1	270aa	713	982	Pkinase	Pfam_Scan
XP_004235218.1	263aa	342	604	Pkinase	Pfam_Scan
XP_004235768.1	261aa	377	637	Pkinase	Pfam_Scan
XP_004235969.1	204aa	802	1005	Pkinase	Pfam_Scan
XP_004236236.1	272aa	768	1039	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004236305.1	263aa	355	617	Pkinase	Pfam_Scan
XP_004236378.3	266aa	353	618	Pkinase	Pfam_Scan
XP_004236511.3	256aa	347	602	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004236550.1	266aa	361	626	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004236603.2	271aa	850	1120	Pkinase	Pfam_Scan
XP_004236615.1	273aa	616	888	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004236904.1	208aa	834	1041	Pkinase	Pfam_Scan
XP_004236956.1	267aa	300	566	Pkinase	Pfam_Scan
XP_004237141.1	268aa	826	1093	Pkinase	Pfam_Scan
XP_004237222.2	195aa	451	645	Pkinase	Pfam_Scan
XP_004237339.1	271aa	299	569	Pkinase	Pfam_Scan
XP_004237515.1	270aa	704	973	Pkinase	Pfam_Scan
XP_004237748.1	272aa	771	1042	Pkinase	Pfam_Scan
XP_004238042.1	282aa	670	951	Pkinase	Pfam_Scan
XP_004238044.1	275aa	646	920	Pkinase	Pfam_Scan
XP_004238203.1	269aa	322	590	Pkinase	Pfam_Scan
XP_004238370.1	275aa	695	969	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004238491.2	266aa	625	890	Pkinase	Pfam_Scan
XP_004238525.1	257aa	768	1024	Pkinase	Pfam_Scan
XP_004238615.2	269aa	842	1110	Pkinase	Pfam_Scan
XP_004238646.1	272aa	281	552	Pkinase	Pfam_Scan
XP_004238738.1	249aa	332	580	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004238893.1	292aa	412	703	Pkinase	Pfam_Scan
XP_004238998.1	267aa	302	568	Pkinase	Pfam_Scan
XP_004239170.1	267aa	608	874	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004239201.1	216aa	423	638	Pkinase	Pfam_Scan
XP_004239381.1	275aa	953	1227	Pkinase	Pfam_Scan
XP_004240244.1	273aa	713	985	Pkinase	Pfam_Scan
XP_004240569.1	263aa	544	806	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004240861.1	267aa	613	879	PK_Tyr_Ser-Thr	Pfam_Scan
XP_004240911.1	155aa	373	527	PK_Tyr_Ser-Thr	Pfam_Scan
