ProteinID	Length	Start	End	Domain	Tool
Sh_1_230_L20	291aa	748	1038	Pkinase	Pfam_Scan
Sh_1_230_L20	N/A	N/A	N/A	SP	signalp-5.0b
Sh_1_230_L20	20aa	7	26	TM	tmhmm2.0c
Sh_1_230_L20	23aa	693	715	TM	tmhmm2.0c
Sh_1_230_L20	25aa	91	115	LRR	DeepLRR
Sh_1_230_L20	20aa	117	136	LRR	DeepLRR
Sh_1_230_L20	20aa	141	160	LRR	DeepLRR
Sh_1_230_L20	20aa	165	184	LRR	DeepLRR
Sh_1_230_L20	28aa	188	215	LRR	DeepLRR
Sh_1_230_L20	20aa	243	262	LRR	DeepLRR
Sh_1_230_L20	20aa	264	283	LRR	DeepLRR
Sh_1_230_L20	20aa	289	308	LRR	DeepLRR
Sh_1_230_L20	27aa	313	339	LRR	DeepLRR
Sh_1_230_L20	20aa	392	411	LRR	DeepLRR
Sh_1_230_L20	20aa	416	435	LRR	DeepLRR
Sh_1_230_L20	21aa	488	508	LRR	DeepLRR
Sh_1_230_L20	25aa	509	533	LRR	DeepLRR
Sh_1_230_L20	20aa	534	553	LRR	DeepLRR
Sh_1_230_L20	20aa	558	577	LRR	DeepLRR
Sh_1_230_L20	20aa	582	601	LRR	DeepLRR
Sh_1_230_L20	20aa	606	625	LRR	DeepLRR
Sh_1_230_L20	23aa	630	652	LRR	DeepLRR
Sh_1_230_L20	21aa	653	673	LRR	DeepLRR
