ProteinID	Length	Start	End	Domain	Tool
NP_001316454.1	168aa	19	186	TIR	Pfam_Scan
XP_004228499.1	175aa	20	194	TIR	Pfam_Scan
XP_004228809.1	167aa	12	178	TIR	Pfam_Scan
XP_004230402.1	182aa	18	199	TIR	Pfam_Scan
XP_004231293.2	160aa	8	167	TIR	Pfam_Scan
XP_004231677.2	122aa	40	161	TIR	Pfam_Scan
XP_004233763.1	179aa	18	196	TIR	Pfam_Scan
XP_004237202.1	177aa	23	199	TIR	Pfam_Scan
XP_004237584.1	180aa	18	197	TIR	Pfam_Scan
XP_004239367.1	160aa	20	179	TIR	Pfam_Scan
XP_004243783.1	180aa	18	197	TIR	Pfam_Scan
XP_004250576.1	142aa	12	153	TIR	Pfam_Scan
XP_010312806.1	138aa	12	149	TIR	Pfam_Scan
XP_010314215.1	176aa	15	190	TIR	Pfam_Scan
XP_010315688.1	177aa	18	194	TIR	Pfam_Scan
XP_010315689.1	177aa	18	194	TIR	Pfam_Scan
XP_010320639.1	161aa	20	180	TIR	Pfam_Scan
XP_010320695.1	168aa	19	186	TIR	Pfam_Scan
XP_010321493.2	171aa	18	188	TIR	Pfam_Scan
XP_010324492.1	183aa	14	196	TIR	Pfam_Scan
XP_019066547.1	167aa	33	199	TIR	Pfam_Scan
XP_019066547.1	174aa	1137	1310	TIR	Pfam_Scan
XP_019066548.2	174aa	22	195	TIR	Pfam_Scan
XP_025883917.1	185aa	18	202	TIR	Pfam_Scan
XP_025883918.1	185aa	18	202	TIR	Pfam_Scan
XP_025884749.1	182aa	10	191	TIR	Pfam_Scan
XP_025884749.1	167aa	627	793	TIR	Pfam_Scan
XP_025884750.1	116aa	2	117	TIR	Pfam_Scan
XP_025884979.1	122aa	40	161	TIR	Pfam_Scan
XP_025886702.1	88aa	1	88	TIR	Pfam_Scan
XP_025886703.1	88aa	1	88	TIR	Pfam_Scan
XP_025886704.1	89aa	1	89	TIR	Pfam_Scan
XP_025888012.1	164aa	11	174	TIR	Pfam_Scan
XP_025888331.1	178aa	14	191	TIR	Pfam_Scan
XP_025888661.1	162aa	11	172	TIR	Pfam_Scan
XP_025888731.1	169aa	13	181	TIR	Pfam_Scan
XP_025888869.1	176aa	15	190	TIR	Pfam_Scan
NP_001316454.1	223aa	206	428	NB-ARC	Pfam_Scan
XP_004228499.1	228aa	206	433	NB-ARC	Pfam_Scan
XP_004228809.1	199aa	196	394	NB-ARC	Pfam_Scan
XP_004230402.1	226aa	210	435	NB-ARC	Pfam_Scan
XP_004231293.2	227aa	182	408	NB-ARC	Pfam_Scan
XP_004231677.2	204aa	177	380	NB-ARC	Pfam_Scan
XP_004233763.1	217aa	203	419	NB-ARC	Pfam_Scan
XP_004237202.1	222aa	201	422	NB-ARC	Pfam_Scan
XP_004237584.1	208aa	213	420	NB-ARC	Pfam_Scan
XP_004239367.1	219aa	199	417	NB-ARC	Pfam_Scan
XP_004243783.1	218aa	199	416	NB-ARC	Pfam_Scan
XP_004250576.1	226aa	182	407	NB-ARC	Pfam_Scan
XP_010312806.1	170aa	158	327	NB-ARC	Pfam_Scan
XP_010314215.1	226aa	205	430	NB-ARC	Pfam_Scan
XP_010315688.1	222aa	211	432	NB-ARC	Pfam_Scan
XP_010315689.1	222aa	211	432	NB-ARC	Pfam_Scan
XP_010320639.1	224aa	193	416	NB-ARC	Pfam_Scan
XP_010320695.1	223aa	206	428	NB-ARC	Pfam_Scan
XP_010321493.2	218aa	204	421	NB-ARC	Pfam_Scan
XP_010324492.1	223aa	200	422	NB-ARC	Pfam_Scan
XP_019066547.1	218aa	217	434	NB-ARC	Pfam_Scan
XP_019066547.1	222aa	1322	1543	NB-ARC	Pfam_Scan
XP_019066548.2	223aa	207	429	NB-ARC	Pfam_Scan
XP_025883917.1	223aa	207	429	NB-ARC	Pfam_Scan
XP_025883918.1	223aa	207	429	NB-ARC	Pfam_Scan
XP_025884749.1	239aa	200	438	NB-ARC	Pfam_Scan
XP_025884749.1	220aa	810	1029	NB-ARC	Pfam_Scan
