ProteinID	Length	Start	End	Domain	Tool
NP_001233925.2	N/A	N/A	N/A	SP	signalp-5.0b
NP_001234307.2	N/A	N/A	N/A	SP	signalp-5.0b
NP_001234427.1	N/A	N/A	N/A	SP	signalp-5.0b
NP_001234474.2	N/A	N/A	N/A	SP	signalp-5.0b
NP_001234733.2	N/A	N/A	N/A	SP	signalp-5.0b
NP_001234824.2	N/A	N/A	N/A	SP	signalp-5.0b
NP_001296225.1	N/A	N/A	N/A	SP	signalp-5.0b
NP_001308014.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004228442.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004228443.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004228617.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004228623.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004228624.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004228639.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004229013.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004229530.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004229756.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004230743.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004231220.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004231257.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004231263.2	N/A	N/A	N/A	SP	signalp-5.0b
XP_004231361.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004231949.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004232910.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004233712.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004233913.3	N/A	N/A	N/A	SP	signalp-5.0b
XP_004234080.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004234110.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004234468.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004234477.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004234487.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004234772.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004235235.4	N/A	N/A	N/A	SP	signalp-5.0b
XP_004235667.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004235717.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004236228.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004236562.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004236640.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004236940.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004237052.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004238151.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004238152.2	N/A	N/A	N/A	SP	signalp-5.0b
XP_004238963.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004239326.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004239840.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004239957.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004240147.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004240155.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004240209.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004240268.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004240813.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004241252.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004242014.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004242091.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004242721.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004242808.2	N/A	N/A	N/A	SP	signalp-5.0b
XP_004242877.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004242967.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004242978.4	N/A	N/A	N/A	SP	signalp-5.0b
XP_004242981.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004243038.3	N/A	N/A	N/A	SP	signalp-5.0b
XP_004243303.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004243515.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004244257.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004245075.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004245766.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004245854.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004246170.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004246422.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004247154.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004247183.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004247516.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004247590.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004248758.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004248904.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004249854.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004249984.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004249985.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004250460.2	N/A	N/A	N/A	SP	signalp-5.0b
XP_004250531.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004250996.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004251075.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004251454.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004251911.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004252054.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004252215.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004252390.2	N/A	N/A	N/A	SP	signalp-5.0b
XP_004252404.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004252485.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004252850.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004253141.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_004253143.2	N/A	N/A	N/A	SP	signalp-5.0b
XP_010312674.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_010313317.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_010313792.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_010313795.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_010313797.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_010313800.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_010313802.1	N/A	N/A	N/A	SP	signalp-5.0b
XP_010313803.1	N/A	N/A	N/A	SP	signalp-5.0b
